id,trial,clock
1,0,116134
1,1,96768
1,2,95690
1,3,100852
1,4,94655
1,5,94480
1,6,95793
1,7,94748
1,8,94589
1,9,95828
2,0,129940
2,1,132735
2,2,130023
2,3,134404
2,4,129485
2,5,129660
2,6,128926
2,7,129589
2,8,129325
2,9,128877
3,0,114376
3,1,114173
3,2,115869
3,3,118119
3,4,115794
3,5,115747
3,6,114847
3,7,114534
3,8,114914
3,9,114280
4,0,130218
4,1,129557
4,2,129096
4,3,130466
4,4,132222
4,5,130667
4,6,131644
4,7,129417
4,8,129230
4,9,128973
5,0,98029
5,1,99708
5,2,100006
5,3,98193
5,4,97964
5,5,97991
5,6,99605
5,7,99687
5,8,98940
5,9,99438
6,0,127279
6,1,125658
6,2,127004
6,3,126290
6,4,127088
6,5,125801
6,6,126848
6,7,125554
6,8,127220
6,9,128026
7,0,99566
7,1,97857
7,2,97732
7,3,97683
7,4,98754
7,5,99739
7,6,98753
7,7,98334
7,8,98766
7,9,98547
8,0,127290
8,1,129105
8,2,129563
8,3,127368
8,4,127706
8,5,127363
8,6,127986
8,7,129586
8,8,129122
8,9,129697
